date,total_views,unique_visitors,last_updated
2025-09-24,14,3,2025-10-08 22:41:54 UTC
2025-09-25,327,80,2025-10-09 08:15:50 UTC
2025-09-26,294,68,2025-10-10 08:15:50 UTC
2025-09-27,95,40,2025-10-11 08:13:29 UTC
2025-09-28,261,45,2025-10-12 08:13:28 UTC
2025-09-29,553,74,2025-10-13 08:17:32 UTC
2025-09-30,453,73,2025-10-14 08:15:10 UTC
2025-10-01,390,70,2025-10-15 08:16:42 UTC
2025-10-02,225,78,2025-10-16 08:17:10 UTC
2025-10-03,240,74,2025-10-17 08:17:21 UTC
2025-10-04,115,44,2025-10-18 08:14:06 UTC
2025-10-05,122,31,2025-10-19 08:13:30 UTC
2025-10-06,463,187,2025-10-20 08:16:45 UTC
2025-10-07,758,87,2025-10-21 08:17:05 UTC
2025-10-08,294,86,2025-10-22 08:18:15 UTC
2025-10-09,241,75,2025-10-23 08:16:53 UTC
2025-10-10,304,74,2025-10-24 08:16:06 UTC
2025-10-11,86,29,2025-10-25 08:13:34 UTC
2025-10-12,106,51,2025-10-26 08:14:22 UTC
2025-10-13,198,61,2025-10-27 08:17:36 UTC
2025-10-14,298,71,2025-10-28 08:16:51 UTC
2025-10-15,195,66,2025-10-29 08:17:03 UTC
2025-10-16,132,60,2025-10-30 08:16:03 UTC
2025-10-17,2166,97,2025-10-30 08:16:03 UTC
2025-10-18,3370,58,2025-10-30 08:16:03 UTC
2025-10-19,111,51,2025-10-30 08:16:03 UTC
2025-10-20,359,93,2025-10-30 08:16:03 UTC
2025-10-21,290,92,2025-10-30 08:16:03 UTC
2025-10-22,304,86,2025-10-30 08:16:03 UTC
2025-10-23,226,115,2025-10-30 08:16:03 UTC
2025-10-24,167,69,2025-10-30 08:16:03 UTC
2025-10-25,195,73,2025-10-30 08:16:03 UTC
2025-10-26,268,54,2025-10-30 08:16:03 UTC
2025-10-27,460,102,2025-10-30 08:16:03 UTC
2025-10-28,268,110,2025-10-30 08:16:03 UTC
2025-10-29,428,107,2025-10-30 08:16:03 UTC
2025-10-30,135,38,2025-10-30 08:16:03 UTC
