date,total_clones_14d,unique_cloners_14d,last_updated
2025-10-08,576,232,2025-10-08 23:39:39 UTC
2025-10-09,640,233,2025-10-09 08:15:35 UTC
2025-10-10,634,229,2025-10-10 08:15:34 UTC
2025-10-11,643,233,2025-10-11 08:13:12 UTC
2025-10-12,636,232,2025-10-12 08:13:16 UTC
2025-10-13,618,238,2025-10-13 08:17:17 UTC
2025-10-14,582,219,2025-10-14 08:14:47 UTC
2025-10-15,587,219,2025-10-15 08:16:29 UTC
2025-10-16,565,208,2025-10-16 08:16:54 UTC
2025-10-17,594,224,2025-10-17 08:17:06 UTC
2025-10-18,609,230,2025-10-18 08:13:50 UTC
2025-10-19,647,247,2025-10-19 08:13:14 UTC
2025-10-20,637,246,2025-10-20 08:16:30 UTC
2025-10-21,657,258,2025-10-21 08:16:47 UTC
2025-10-22,583,251,2025-10-22 08:17:51 UTC
